rank,val_acc,epochs,lr,batch_size,lamb,time
1,0.9221428571428572,6,,,6.067738140370665e-05,63.768733739852905
2,0.921875,7,,,7.118939841655417e-05,71.22227096557617
3,0.9213392857142857,9,,,3.712369650995064e-05,82.83336281776428
4,0.9211607142857143,4,,,0.0003103996573489349,41.583735704422
5,0.92,5,,,0.0004884771077870263,52.306126832962036
6,0.9198214285714286,5,,,0.0005317573058272258,53.129964113235474
7,0.919375,6,,,0.0005727711973635275,62.370352029800415
8,0.9189285714285714,6,,,0,62.32989311218262
9,0.9188392857142857,4,,,0,41.59572219848633
10,0.9186607142857143,9,,,0,84.40174555778503
11,0.911875,7,,,0.0030770640057209116,72.37208151817322
12,0.9072321428571428,3,,,0.005826603021906129,28.344281435012817
13,0.9060714285714285,7,,,0.0063833710092462154,59.94012260437012
14,0.8809821428571428,2,,,0,19.734099864959717
15,0.8513392857142857,1,,,0,10.57618761062622
